date,ddr5_price,ddr4_price,nand_price
2019-01-01,,4.80,5.80
2019-02-01,,4.50,5.50
2019-03-01,,4.20,5.20
2019-04-01,,3.90,5.00
2019-05-01,,3.70,4.80
2019-06-01,,3.50,4.60
2019-07-01,,3.30,4.40
2019-08-01,,3.10,4.30
2019-09-01,,3.00,4.20
2019-10-01,,2.90,4.10
2019-11-01,,2.80,4.00
2019-12-01,,2.70,3.90
2020-01-01,,2.60,3.80
2020-02-01,,2.55,3.70
2020-03-01,,2.50,3.60
2020-04-01,,2.60,3.70
2020-05-01,,2.70,3.80
2020-06-01,,2.80,3.90
2020-07-01,,2.85,4.00
2020-08-01,,2.90,4.10
2020-09-01,,3.00,4.20
2020-10-01,,3.05,4.30
2020-11-01,,3.10,4.40
2020-12-01,,3.15,4.50
2021-01-01,,3.20,4.60
2021-02-01,,3.30,4.70
2021-03-01,,3.40,4.80
2021-04-01,,3.50,4.90
2021-05-01,,3.60,5.00
2021-06-01,,3.65,5.10
2021-07-01,,3.70,5.20
2021-08-01,,3.71,5.30
2021-09-01,,3.68,5.20
2021-10-01,,3.60,5.10
2021-11-01,,3.50,5.00
2021-12-01,,3.40,4.90
2022-01-01,11.00,3.30,4.80
2022-02-01,10.50,3.20,4.70
2022-03-01,10.00,3.10,4.60
2022-04-01,9.50,3.00,4.40
2022-05-01,9.00,2.80,4.20
2022-06-01,8.50,2.60,4.00
2022-07-01,7.80,2.40,3.70
2022-08-01,7.20,2.20,3.40
2022-09-01,6.50,2.00,3.20
2022-10-01,6.00,1.85,3.00
2022-11-01,5.50,1.70,2.80
2022-12-01,5.00,1.55,2.60
2023-01-01,4.80,1.45,2.50
2023-02-01,4.50,1.35,2.45
2023-03-01,4.30,1.25,2.40
2023-04-01,4.10,1.15,2.50
2023-05-01,3.90,1.05,2.55
2023-06-01,3.80,1.00,2.60
2023-07-01,3.70,0.95,2.70
2023-08-01,3.60,0.92,2.75
2023-09-01,3.55,0.90,2.80
2023-10-01,3.60,1.00,2.90
2023-11-01,3.70,1.40,3.00
2023-12-01,3.80,1.75,3.15
2024-01-01,3.90,1.82,3.12
2024-02-01,4.00,1.85,3.15
2024-03-01,4.10,1.87,3.18
2024-04-01,4.20,1.88,3.20
2024-05-01,4.30,1.89,3.22
2024-06-01,4.40,1.90,3.25
2024-07-01,4.50,1.90,3.29
2024-08-01,4.60,1.89,3.20
2024-09-01,4.50,1.88,3.00
2024-10-01,4.40,1.89,2.70
2024-11-01,4.30,1.83,2.38
2024-12-01,4.50,1.85,2.50
2025-01-01,4.80,2.00,2.70
2025-02-01,5.10,2.20,2.90
2025-03-01,5.30,2.40,3.10
2025-04-01,5.50,2.55,3.30
2025-05-01,5.80,2.73,3.50
2025-06-01,5.99,2.90,3.80
2025-07-01,6.20,3.10,4.00
2025-08-01,5.99,3.40,4.20
2025-09-01,6.84,4.70,4.58
2025-10-01,12.50,7.93,7.42
2025-11-01,24.83,12.76,11.52
2025-12-01,27.20,21.75,15.80
2026-01-01,30.50,27.86,18.50
2026-02-01,33.00,29.50,20.00
